KBUF,KELM,KSCH,KN03,KJFK,KHPN,KGTB,KPBG,KDSV,KRME,KSLK,KGFL,K6B9,KALB,KSWF,KOGS,KSYR,KISP,KMSV,KMGJ,KELZ,KFRG,KART,KMSS,KLGA,KDKK,KJHW,KOLE,KJRB,KFOK,KHWV,KROC,KMTP,KFZY,KITH,KHTO,KPOU,KBGM,KIAG,KPEO,KNYC
0.0,173.0,391.0,209.0,485.0,465.0,271.0,463.0,93.0,272.0,398.0,418.0,186.0,403.0,414.0,326.0,214.0,524.0,351.0,401.0,111.0,504.0,248.0,382.0,468.0,66.0,98.0,84.0,464.0,557.0,539.0,88.0,599.0,195.0,192.0,579.0,425.0,239.0,24.0,141.0,462.0
173.0,0.0,255.0,74.0,311.0,292.0,231.0,392.0,80.0,171.0,331.0,299.0,92.0,263.0,243.0,303.0,124.0,351.0,181.0,230.0,89.0,330.0,216.0,350.0,294.0,198.0,194.0,120.0,290.0,385.0,367.0,124.0,431.0,139.0,52.0,409.0,256.0,76.0,197.0,55.0,288.0
391.0,255.0,0.0,188.0,246.0,199.0,197.0,203.0,310.0,126.0,172.0,60.0,204.0,15.0,150.0,238.0,178.0,238.0,146.0,151.0,342.0,239.0,211.0,243.0,230.0,438.0,444.0,369.0,239.0,247.0,242.0,306.0,258.0,206.0,210.0,252.0,136.0,182.0,408.0,255.0,229.0
209.0,74.0,188.0,0.0,297.0,268.0,166.0,318.0,122.0,97.0,257.0,227.0,40.0,198.0,212.0,240.0,58.0,326.0,153.0,201.0,155.0,311.0,156.0,282.0,279.0,251.0,255.0,181.0,279.0,355.0,340.0,132.0,393.0,85.0,22.0,375.0,220.0,46.0,229.0,68.0,274.0
485.0,311.0,246.0,297.0,0.0,47.0,412.0,446.0,392.0,318.0,419.0,300.0,336.0,234.0,99.0,470.0,336.0,58.0,146.0,105.0,388.0,31.0,416.0,485.0,18.0,502.0,488.0,422.0,21.0,99.0,78.0,425.0,162.0,371.0,304.0,132.0,110.0,254.0,508.0,352.0,23.0
465.0,292.0,199.0,268.0,47.0,0.0,371.0,399.0,372.0,279.0,372.0,253.0,305.0,187.0,58.0,427.0,301.0,58.0,115.0,68.0,374.0,43.0,377.0,440.0,34.0,488.0,478.0,408.0,47.0,94.0,75.0,399.0,149.0,337.0,278.0,122.0,64.0,228.0,488.0,328.0,38.0
271.0,231.0,197.0,166.0,412.0,371.0,0.0,192.0,229.0,94.0,127.0,188.0,138.0,213.0,313.0,73.0,108.0,421.0,272.0,306.0,283.0,414.0,23.0,121.0,394.0,335.0,356.0,294.0,398.0,438.0,429.0,187.0,454.0,93.0,183.0,446.0,308.0,205.0,278.0,189.0,391.0
463.0,392.0,203.0,318.0,446.0,399.0,192.0,0.0,412.0,220.0,64.0,146.0,307.0,213.0,354.0,158.0,272.0,429.0,345.0,355.0,461.0,435.0,216.0,113.0,431.0,525.0,544.0,478.0,441.0,428.0,428.0,378.0,417.0,274.0,340.0,422.0,337.0,339.0,470.0,364.0,432.0
93.0,80.0,310.0,122.0,392.0,372.0,229.0,412.0,0.0,202.0,348.0,344.0,110.0,320.0,321.0,296.0,144.0,431.0,259.0,308.0,55.0,411.0,209.0,349.0,375.0,128.0,135.0,65.0,371.0,464.0,446.0,60.0,507.0,138.0,103.0,487.0,333.0,147.0,116.0,55.0,369.0
272.0,171.0,126.0,97.0,318.0,279.0,94.0,220.0,202.0,0.0,160.0,145.0,91.0,141.0,220.0,161.0,58.0,331.0,177.0,213.0,245.0,322.0,98.0,194.0,300.0,326.0,338.0,266.0,304.0,350.0,340.0,185.0,374.0,81.0,119.0,362.0,217.0,123.0,287.0,149.0,297.0
398.0,331.0,172.0,257.0,419.0,372.0,127.0,64.0,348.0,160.0,0.0,126.0,243.0,185.0,321.0,105.0,209.0,410.0,303.0,320.0,398.0,412.0,151.0,78.0,402.0,460.0,479.0,413.0,410.0,414.0,411.0,313.0,413.0,210.0,279.0,413.0,308.0,282.0,406.0,300.0,401.0
418.0,299.0,60.0,227.0,300.0,253.0,188.0,146.0,344.0,145.0,126.0,0.0,234.0,67.0,208.0,210.0,203.0,286.0,206.0,210.0,382.0,290.0,207.0,202.0,285.0,470.0,480.0,407.0,295.0,288.0,286.0,330.0,288.0,224.0,250.0,287.0,192.0,230.0,432.0,290.0,286.0
186.0,92.0,204.0,40.0,336.0,305.0,138.0,307.0,110.0,91.0,243.0,234.0,0.0,216.0,248.0,211.0,34.0,363.0,190.0,237.0,155.0,348.0,124.0,258.0,318.0,236.0,246.0,174.0,318.0,390.0,376.0,103.0,425.0,48.0,47.0,409.0,254.0,87.0,204.0,58.0,313.0
403.0,263.0,15.0,198.0,234.0,187.0,213.0,213.0,320.0,141.0,185.0,67.0,216.0,0.0,140.0,253.0,191.0,224.0,142.0,142.0,350.0,226.0,226.0,257.0,219.0,449.0,453.0,378.0,228.0,232.0,227.0,318.0,242.0,220.0,219.0,236.0,124.0,188.0,420.0,265.0,218.0
414.0,243.0,150.0,212.0,99.0,58.0,313.0,354.0,321.0,220.0,321.0,208.0,248.0,140.0,0.0,370.0,243.0,114.0,62.0,13.0,329.0,102.0,318.0,386.0,82.0,441.0,434.0,362.0,89.0,143.0,127.0,344.0,188.0,278.0,223.0,165.0,22.0,174.0,436.0,274.0,80.0
326.0,303.0,238.0,240.0,470.0,427.0,73.0,158.0,296.0,161.0,105.0,210.0,211.0,253.0,370.0,0.0,182.0,473.0,336.0,366.0,351.0,469.0,88.0,56.0,452.0,391.0,416.0,359.0,458.0,485.0,478.0,248.0,494.0,165.0,256.0,489.0,363.0,278.0,328.0,260.0,450.0
